_id,First Name,Last Name,Age,Email,Phone,Education,Salary
65e9449626dbe712a54c9644,Alberta,West,26,a.west@randatmail.com,461-0130-12,Primary,3664
65e9449626dbe712a54c9645,William,Moore,26,w.moore@randatmail.com,511-2236-98,Upper secondary,1904
65e9449626dbe712a54c9646,Lilianna,Spencer,21,l.spencer@randatmail.com,829-9558-52,Lower secondary,7688
65e9449626dbe712a54c9647,Adrian,Chapman,29,a.chapman@randatmail.com,762-8509-21,Primary,5109
65e9449626dbe712a54c9648,Valeria,Perkins,19,v.perkins@randatmail.com,640-8374-42,Doctoral,1604
65e9449626dbe712a54c9649,Elian,Carter,30,e.carter@randatmail.com,100-9412-57,Upper secondary,7229
65e9449626dbe712a54c964a,Eddy,Barrett,30,e.barrett@randatmail.com,173-0657-09,Bachelor,1575
65e9449626dbe712a54c964b,Michelle,Fowler,24,m.fowler@randatmail.com,563-7591-97,Upper secondary,3282
65e9449626dbe712a54c964c,Antony,Stewart,30,a.stewart@randatmail.com,406-6850-09,Upper secondary,6369
65e9449626dbe712a54c964d,Darcy,Carroll,28,d.carroll@randatmail.com,223-4841-13,Upper secondary,3744
65e9449626dbe712a54c964e,Alberta,Barnes,21,a.barnes@randatmail.com,767-1183-26,Primary,3798
65e9449626dbe712a54c964f,Amelia,Cameron,19,a.cameron@randatmail.com,028-2802-12,Master,2460
65e9449626dbe712a54c9650,George,Wright,22,g.wright@randatmail.com,427-2422-93,Upper secondary,6707
65e9449626dbe712a54c9651,Belinda,Ellis,30,b.ellis@randatmail.com,427-6303-64,Upper secondary,5321
65e9449626dbe712a54c9652,Alan,Tucker,28,a.tucker@randatmail.com,049-4898-07,Master,9590
65e9449626dbe712a54c9653,Amber,Elliott,29,a.elliott@randatmail.com,923-4516-99,Primary,5002
65e9449626dbe712a54c9654,Amanda,Jones,23,a.jones@randatmail.com,589-8284-86,Bachelor,3829
65e9449626dbe712a54c9655,Edith,Fowler,22,e.fowler@randatmail.com,210-7325-64,Master,3728
65e9449626dbe712a54c9656,Alisa,Higgins,25,a.higgins@randatmail.com,650-7114-87,Bachelor,1080
65e9449626dbe712a54c9657,Tiana,Armstrong,26,t.armstrong@randatmail.com,671-3883-99,Upper secondary,557
65e9449626dbe712a54c9658,Harold,Anderson,20,h.anderson@randatmail.com,486-3915-85,Primary,7178
65e9449626dbe712a54c9659,Dainton,Sullivan,20,d.sullivan@randatmail.com,598-0989-35,Bachelor,4072
65e9449626dbe712a54c965a,Adison,Moore,28,a.moore@randatmail.com,582-6720-26,Upper secondary,509
65e9449626dbe712a54c965b,Connie,Fowler,21,c.fowler@randatmail.com,589-2637-97,Primary,4623
65e9449626dbe712a54c965c,Audrey,Hunt,24,a.hunt@randatmail.com,879-4269-02,Bachelor,8164
